x;y
4.9360977e+01;5.1265153e+01
1.2095755e+01;5.7360776e+01
1.4389262e+01;4.3454687e+01
1.8230497e+01;7.0481002e+01
1.8180892e+01;2.9388952e+01
2.5545214e+01;8.1572100e+01
2.4610125e+01;5.4479167e+01
2.9829765e+01;2.0110855e+01
2.9897269e+01;3.4480315e+01
3.3115521e+01;7.2954321e+01
3.3921646e+01;3.9596943e+01
3.1293159e+01;5.4161407e+01
3.6996320e+01;8.6565670e+01
3.7471702e+01;6.8303994e+01
4.0439483e+01;1.2254904e+01
3.6653067e+01;4.3633425e+01
3.5430982e+01;5.1091055e+01
3.5927730e+01;5.7299215e+01
3.8913010e+01;6.3417173e+01
3.9788040e+01;4.8703549e+01
3.9337067e+01;5.4161555e+01
4.8319962e+01;3.0597324e+01
4.1239614e+01;5.8633524e+01
4.8115719e+01;2.3748322e+01
4.3322513e+01;3.6441885e+01
4.2745919e+01;4.5047120e+01
4.3282362e+01;4.1332516e+01
5.1679279e+01;7.9795041e+01
4.8213101e+01;9.1688877e+01
4.3827959e+01;5.3461696e+01
4.4986020e+01;4.9037137e+01
4.5378010e+01;6.7983844e+01
4.4713384e+01;6.2372130e+01
4.5918087e+01;5.7790650e+01
5.6496791e+01;7.2223008e+01
4.8324247e+01;3.9335085e+01
5.1417125e+01;1.1625642e+01
4.9393208e+01;4.4853241e+01
4.8262166e+01;5.3691934e+01
4.9845567e+01;6.4570266e+01
4.9211525e+01;5.9390120e+01
5.2893305e+01;3.4514358e+01
5.2005705e+01;4.9680613e+01
5.3161000e+01;6.8792086e+01
5.3553497e+01;5.5005658e+01
5.4032615e+01;3.9581502e+01
5.4988727e+01;6.1616018e+01
5.8487665e+01;9.0971559e+01
5.4849530e+01;4.4780999e+01
6.1834057e+01;1.5518009e+01
5.6600583e+01;4.9258604e+01
5.8560254e+01;3.7140666e+01
5.8121800e+01;4.2983494e+01
6.0594207e+01;6.6325178e+01
5.8821107e+01;5.6880993e+01
5.8959902e+01;5.2811942e+01
6.6174710e+01;3.6962776e+01
6.8976744e+01;2.9810291e+01
5.9620061e+01;4.8043373e+01
6.0381506e+01;6.1716706e+01
6.2445845e+01;4.0385809e+01
6.7855843e+01;8.5529212e+01
6.2903655e+01;4.5917344e+01
6.2701342e+01;5.0190828e+01
6.2536723e+01;5.7489318e+01
7.0971198e+01;7.2122467e+01
6.3367020e+01;5.3573197e+01
6.5775442e+01;6.0869795e+01
6.6784562e+01;4.3819057e+01
7.0168484e+01;6.3562657e+01
6.8053709e+01;5.6028364e+01
6.7838387e+01;4.9992653e+01
7.2620759e+01;1.7488621e+01
7.2674748e+01;4.9923342e+01
7.8720092e+01;8.0337433e+01
8.0591197e+01;2.4848186e+01
7.8744107e+01;5.0843156e+01
8.5494966e+01;3.7548720e+01
8.5458790e+01;6.7167104e+01
